,English Name,Korean Name,Ingredients,Type,Video,ingredients_parsed
520,Pork wraps,보쌈,"['brown sugar', 'daikon radish', 'doenjang', 'fermented salted shrimp', 'fish sauce', 'frozen oysters', 'garlic', 'ginger', 'hot pepper flakes', 'instant hazelnut-flavored coffee', 'Korean radish', 'kosher salt', 'napa cabbage', 'onion', 'oysters', 'pork', 'pork belly', 'sugar', 'toasted sesame seeds', 'vinegar', 'water', '']","['anju', 'main dish', 'pork', 'seafood']",https://youtube.com/watch?v=t0Ta_ckc9O0,"['brown sugar', 'daikon radish', 'doenjang', 'fermented salted shrimp', 'fish sauce', 'frozen oysters', 'garlic', 'ginger', 'instant hazelnut-flavored coffee', 'Korean radish', 'napa cabbage', 'onion', 'oysters', 'pork', 'pork belly', 'toasted sesame seeds', '']"
521,Fire chicken with cheese,치즈불닭,"['chicken', 'chicken breast', 'corn oil', 'corn syrup', 'garlic', 'ginger', 'gochujang', 'green onion', 'ground black pepper', 'honey', 'hot pepper flakes', 'mozzarella cheese', 'rice syrup', 'sliced rice cake', 'soy sauce', 'sugar', 'vegetable oil', 'water', '']","['chicken', 'main dish', 'spicy']",https://youtube.com/watch?v=T9uI1-6Ac6A,"['chicken', 'chicken breast', 'corn oil', 'corn syrup', 'garlic', 'ginger', 'gochujang', 'green onion', 'mozzarella cheese', 'rice syrup', 'sliced rice cake', '']"
522,Pork cutlet,돈까스,"['beef tenderloin', 'bread crumbs', 'butter', 'cabbage', 'chicken', 'corn oil', 'eggs', 'flour', 'ground black pepper', 'Hi-rice sauce', 'honey', 'ketchup', 'kimchi', 'kosher salt', 'lemon juice', 'mayonnaise', 'pork loin', 'rice', 'sugar', 'water', 'yellow pickled radish', '']","['main dish', 'non spicy', 'pork', 'snack']",https://youtube.com/watch?v=LWlafDHuwHo,"['beef tenderloin', 'bread crumbs', 'butter', 'cabbage', 'chicken', 'corn oil', 'eggs', 'Hi-rice sauce', 'ketchup', 'kimchi', 'lemon juice', 'mayonnaise', 'pork loin', 'rice', 'yellow pickled radish', '']"
523,Beef and vegetable porridge,쇠고기야채죽,"['beef', 'carrot', 'fish sauce', 'garlic', 'gim', 'kosher salt', 'onion', 'red bell pepper', 'rice', 'soup soy sauce', 'toasted sesame oil', 'toasted sesame seeds', 'yellow bell pepper', '']","['beef', 'main dish', 'one bowl meal', 'porridge', 'rice']",https://youtube.com/watch?v=jjTOcr1pd-M,"['beef', 'carrot', 'fish sauce', 'garlic', 'gim', 'onion', 'red bell pepper', 'rice', 'soup soy sauce', 'toasted sesame oil', 'toasted sesame seeds', 'yellow bell pepper', '']"
524,Spicy soft tofu stew with kimchi and pork belly,김치순두부찌개,"['dried anchovies', 'dried kelp', 'eggs', 'garlic', 'green onion', 'hot pepper flakes', 'kimchi', 'Korean radish', 'kosher salt', 'onion', 'pork', 'pork belly', 'soft tofu', 'sugar', 'toasted sesame oil', 'vegetable oil', '']","['main dish', 'one bowl meal', 'pork', 'side dish', 'spicy', 'stew', 'sundubu-jjigae']",https://youtube.com/watch?v=BvZ9m3Bikuw,"['dried anchovies', 'dried kelp', 'eggs', 'garlic', 'green onion', 'kimchi', 'Korean radish', 'onion', 'pork', 'pork belly', 'soft tofu', 'toasted sesame oil', '']"
525,Spicy grilled squid,오징어통구이,"['corn syrup', 'garlic', 'ginger', 'gochujang', 'green onion', 'mustard', 'rice syrup', 'sesame seeds', 'soy sauce', 'squid', 'toasted sesame oil', 'vegetable oil', '']","['anju', 'main dish', 'seafood', 'side dish', 'spicy']",https://youtube.com/watch?v=LFlzbfnmsas,"['corn syrup', 'garlic', 'ginger', 'gochujang', 'green onion', 'mustard', 'rice syrup', 'sesame seeds', 'squid', 'toasted sesame oil', '']"
526,Lobster gimbap,랍스터 김밥,"['carrot', 'cucumber', 'english cucumber', 'gim', 'kosher salt', 'lobster', 'rice', 'toasted sesame oil', 'toasted sesame seeds', 'yellow pickled radish', '']","['gimbap', 'lunchbox', 'main dish', 'non spicy', 'rice', 'seafood']",https://youtube.com/watch?v=-Zf--SCa1_0,"['carrot', 'cucumber', 'english cucumber', 'gim', 'lobster', 'rice', 'toasted sesame oil', 'toasted sesame seeds', 'yellow pickled radish', '']"
527,King-size kimchi dumplings,김치왕만두,"['Asian chives', 'beef brisket', 'flour', 'garlic', 'ginger', 'green chili pepper', 'ground beef', 'ground black pepper', 'jalapeno pepper', 'kimchi', 'kosher salt', 'onion', 'pork belly', 'soy sauce', 'sugar', 'sweet potato starch noodles', 'toasted sesame oil', 'tofu', 'vegetable oil', 'vinegar', '']","['beef', 'main dish', 'mandu', 'non spicy', 'pork', 'snack']",https://youtube.com/watch?v=fpyEDjmTeGo,"['Asian chives', 'beef brisket', 'garlic', 'ginger', 'green chili pepper', 'ground beef', 'jalapeno pepper', 'kimchi', 'onion', 'pork belly', 'sweet potato starch noodles', 'toasted sesame oil', 'tofu', '']"
528,"Minced, seasoned, and grilled beef ribs",떡갈비,"['beef short ribs', 'garlic', 'ground black pepper', 'honey', 'onion', 'rice syrup', 'sesame seeds', 'shredded red pepper', 'soy sauce', 'toasted sesame oil', '']","['anju', 'BBQ', 'beef', 'main dish', 'non spicy', 'side dish']",https://youtube.com/watch?v=1CNdHgGB1Tc,"['beef short ribs', 'garlic', 'onion', 'rice syrup', 'sesame seeds', 'shredded red pepper', 'toasted sesame oil', '']"
529,Classic gimbap,김밥,"['carrot', 'eggs', 'garlic', 'gim', 'ground beef', 'kosher salt', 'rice', 'skirt steak', 'soy sauce', 'spinach', 'sugar', 'toasted sesame oil', 'vegetable oil', 'yellow pickled radish', '']","['gimbap', 'lunchbox', 'main dish', 'non spicy', 'rice', 'snack']",https://youtube.com/watch?v=Y-Y9CXGRJPU,"['carrot', 'eggs', 'garlic', 'gim', 'ground beef', 'rice', 'skirt steak', 'spinach', 'toasted sesame oil', 'yellow pickled radish', '']"
